elevation,latitude,longitude,location,slope,rainfall,min_temperature_c,max_temperature_c,ave_temps,soil_fertility,soil_type,ph,pollution_level,crop_type,standard_yield
786.0558,-7.389911080195735,-7.556202472076428,0,14.795113,1125.2,-3.1,33.1,15.0,0.62,3,6.1693930384643805,0.0852668430903311,1,0.5779643636557995
674.3341,-7.736849459237079,-1.051539153607483,4,11.374611,1450.7,-3.9,30.6,13.35,0.64,5,5.676647602455388,0.3996837617098369,1,0.4863021866038506
826.5339,-9.926616371108418,0.1151559983893706,4,11.339692,2208.9,-1.8000000000000007,28.4,13.3,0.69,5,5.331992990569844,0.3580285530417731,6,0.6496473756056078
574.94617,-2.4201314427593417,-6.592214971970919,3,7.109855,328.8,-5.8,32.2,13.2,0.54,0,5.328149652613495,0.2866871285527406,1,0.5323479731824039
331.35538,-13.409517241224766,-6.722848792078675,2,5.907423,1586.0,-6.8,31.8,12.5,0.63,4,7.061316546900067,4.315457451400656e-07,0,0.3428707314343353
790.73846,-3.785356492753202,-1.4704683008495965,3,15.380596,1188.3,-3.0,31.0,14.0,0.63,3,4.577042710453545,0.6131073815302063,6,0.3992136905134104
742.7218,-10.237509204275336,-0.7362161395542792,4,3.4318435,2143.3,-2.6,28.2,12.8,0.66,5,5.447320501794685,0.278479232333261,2,0.6138607622879411
747.3803,-3.767333719815989,-3.1056433594397808,3,8.239554,796.6,-3.8,32.7,14.45,0.58,3,4.897414401815874,0.3103862353298307,1,0.4814519846652259
756.9202,-7.538598956927739,-0.5785546325276771,4,9.371509,1544.7,-3.1,30.5,13.7,0.64,5,5.831128627497049,0.4451286628448371,2,0.473837914329871
393.8345,-12.855316973405476,-8.159820813263988,0,36.34067,1753.3,-6.3,31.8,12.75,0.74,4,6.254509163012349,0.0039918202247622,0,0.4930553939478187
660.6827,-2.6409104112401973,-3.839895520735098,3,8.705346,612.7,-4.7,29.8,12.55,0.57,3,5.491848254369653,0.1890157424991756,4,0.6206235917659152
790.90894,-8.822721528704143,-7.421064037482197,0,17.159893,1575.0,-2.8,31.6,14.4,0.66,5,5.555430182144888,0.0516251161209078,6,0.7210848892436719
618.16815,-8.813710142235536,-0.9389237914456244,4,23.239878,1673.9,-4.2,30.9,13.35,0.69,4,5.580685568665929,0.0911649094274563,1,0.4478925557252291
639.52563,-5.916549392578599,-2.1146281724154266,2,0.8549503,913.0,-4.7,32.4,13.85,0.56,3,5.688561120864322,0.7038841917356988,7,0.3398296069898237
808.43085,-8.56139132111456,-1.974985123334722,4,16.707561,1693.4,-2.4000000000000004,30.0,13.8,0.67,5,3.768237808360417,0.1008553379000064,6,0.6399221598637704
454.19534,-10.377185694538737,-7.353494820185081,0,9.985941,1700.5,-5.6,31.3,12.85,0.65,4,7.196078807735186,0.0303820353660652,0,0.3841286074591953
768.06274,-8.074776451809816,0.480029771793792,4,10.411442,1756.8,-2.7,32.4,14.85,0.66,5,4.4349048854115685,0.1709666478355019,6,0.7809969476095414
610.994,-6.948353143234025,-2.9660003103590764,2,16.369598,902.8,-4.9,28.4,11.75,0.61,0,4.698948976337432,0.3034866535972001,7,0.5274094970273849
195.87325,-12.711134789907774,-6.380498091106625,2,10.056667,1575.0,-8.1,33.9,12.9,0.64,4,6.927999150824922,1.0170403712160064e-05,5,0.4802121002200639
